編號,韓文,羅馬拼音,中文,英文
4273,사소하다,sasohada,細小、微不足道,"Be trifling,insignificant"
4274,상,sang,桌子、茶几,"A table,small desk"
4275,상쾌하다,sangkwaehada,爽快、清新,"Be refreshing,exhilirating"
4276,성,seong,姓氏、姓,"A family name,surname"
4277,손길,songil,援助之手、撫摸之手,An outstretched hand
4278,순위,sunwi,順位、名次、排名,"order,ranking"
4279,식사하다,siksahada,進餐、用餐,To eat a meal
4280,쌍,ssang,雙、對、對偶,"A pair,couple"
4281,썰렁하다,sseolreonghada,寒意襲人、冷清,"chilly,feel cold"
4282,암시,amsi,暗示、預兆,"A hint, suggestion"
4283,앞날,amnal,前途、未來的日子,"The futre, the days ahead"
4284,역사상,yeoksasang,歷史上,In history
4285,연주,yeonju,演奏,A musical performance
4286,우울하다,uulhada,憂鬱、鬱悶,"To be melancholy, gloomy"
4287,우체국,ucheguk,郵局,A post office
4288,울리다,ulrida,使哭泣、惹哭,To make (a baby) cry
4289,육상,yuksang,陸上、田徑,"On land, on the ground"
4290,음주,eumju,飲酒、喝酒,Drinking (alcohol)
4291,이별,ibyeol,離別、告別,"Parting, separation; divorce"
4292,인재,injae,人才、棟樑,A man of ability
4293,인종,injong,人種、種族,A human race
4294,일시적,ilsijeok,一時的、暫時的,Of a day
4295,재밌다,jaemitda,有趣、好玩,"interesting,fun"
4296,전문적,jeonmunjeok,專門的、專業的,Of a specialist nature
4297,젊음,jeolmeum,青春、年輕,Youth
4298,점잖다,jeomjanta,斯文、莊重、儒雅,"To be dignified,well-bred"
4299,조개,jogae,貝類、蛤蜊,"shellfish,clam"
4300,주무시다,jumusida,睡覺（敬語）,To sleep (respectful word)
4301,중계방송,junggyebangsong,實況轉播、現場直播,"A relay, a hookup"
4302,중독,jungdok,中毒、上癮,Poison
4303,지급,jigeup,支給、發放、支付,"supply,pay"
4304,진실하다,jinsilhada,真實、真誠,"Be true, truthful"
4305,차창,chachang,車窗,car/train window
4306,초청하다,chocheonghada,邀請,To invite
4307,출발점,chulbaljeom,出發點、起點,The starting point of a trip
4308,출판,chulpan,出版,"Publication, publishing"
4309,출현하다,chulhyeonhada,出現、露面,"Appearance, turning out"
4310,클럽,keulreop,俱樂部、夜店,Club
4311,키스,kiseu,接吻、親吻,Kiss
4312,탈출하다,talchulhada,逃脫、逃離,"To escape, get away from"
4313,판사,pansa,法官,A judge
4314,허락,heorak,許可、答應、批准,"Consent, assent, approval"
4315,확신,hwaksin,確信、堅定信念,"Conviction, firm belief"
4316,흐리다,heurida,陰沉（天氣）,Cloudy (weather)
4317,걱정스럽다,geokjeongseureopda,令人擔憂、掛念,Anxious or uneasy
4318,건설되다,geonseoldoeda,被建設、興建（被動）,To become constructed
4319,고개,gogae,山嶺、山坡頂,the peak or crest (of a hill)
4320,고프다,gopeuda,肚子餓、飢餓,Hungry or famished
4321,그제야,geujeya,這才、直到那時才,For the first time or not … until
4322,금연,geumyeon,禁菸、戒菸,Prohibition of smoking
4323,기성세대,giseongsedae,既成世代、老一代,Old people
4324,기술하다,gisulhada,記述、描寫、記述,To describe or give an account of
4325,까치,kkachi,喜鵲,Magpie
4326,꿈속,kkumsok,夢中,In a dream
4327,나비,nabi,蝴蝶,Butterfly
4328,남북,nambuk,南北,North and south
4329,납득하다,napdeukhada,領會、理解、信服,"To convince, persuade oneself"
4330,단,dan,段位、階級,A grade or class
4331,대사관,daesagwan,大使館,Embassy
4332,독창적,dokchangjeok,獨創的、原創的,Original
4333,만점,manjeom,滿分,Perfect score
4334,매달,maedal,每個月、每月,Every month
4335,모여들다,moyeodeulda,聚集、蜂擁而至,"gather,flock"
4336,묵다,mukda,陳舊、久放,Get old
4337,바깥쪽,bakkatjjok,外側、外面,The outside
4338,배고프다,baegopeuda,肚子餓,To be hungry
4339,버섯,beoseot,蘑菇、蕈類,Mushroom
4340,보수,bosu,保守、守舊,Conservation
4341,보안,boan,保安、安全保衛,Preservation of the public peace
4342,뵈다,boeda,拜見、見面（敬語）,See (polite)
4343,부,bu,副、副級,"assistant,deputy"
4344,비웃다,biutda,嘲笑、譏笑,"Laugh at, ridicule"
4345,비키다,bikida,讓開、躲開,Move aside
4346,사나이,sanai,男子漢、男子,"A man, a male"
4347,사모님,samonim,師母、夫人、太太,Older more respected ajuma
4348,삼,sam,三（漢字詞）,Three
4349,상징적,sangjingjeok,象徵性的,"symbolic,emblematic"
4350,색다르다,saekdareuda,與眾不同、別緻,"Be different,novel"
4351,세미나,semina,研討會、專題討論會,Seminar
4352,세제,seje,洗潔劑、洗衣精,"detergent,cleaning material"
4353,속삭이다,soksagida,低語、耳語、竊竊私語,Whisper
4354,시일,siil,時日、日子,"time,days"
4355,시합,sihap,比賽、競賽,"A contest,match"
4356,신속하다,sinsokhada,迅速、敏捷,"Be quick,rapid,speedy"
4357,신제품,sinjepum,新產品、新品,A new product
4358,신중하다,sinjunghada,慎重、謹慎,"To be prudent,cautious"
4359,썩,sseok,相當、非常、十分,"Very much,greatly"
4360,암컷,amkeot,雌性、母的,"A female,a she (opp. 수컷)"
4361,여행하다,yeohaenghada,旅行、旅遊,To travel
4362,예고하다,yegohada,預告、事先通知,"Warn, give advance notice"
4363,위반하다,wibanhada,違反、違背,To violate (the law)
4364,윗몸,winmom,上半身,The upper body
4365,은은하다,euneunhada,隱隱約約、淡淡的,"To be distant,faint,indistinct"
4366,이해관계,ihaegwangye,利害關係,Mutual understanding
4367,익히다,ikhida,煮熟、弄熟,"cook,boil"
4368,일대,ildae,一帶、整個區域,One great/large
4369,입력,ipryeok,輸入、力道輸入,Power input
4370,자연현상,jayeonhyeonsang,自然現象,Natural phenomena
4371,정류장,jeongryujang,站牌、車站（公車）,"stop,a station,bus-stop"
4372,정신없이,jeongsineopsi,精神恍惚地、忙得不可開交,Feel distracted and scatter-brained
4373,정직하다,jeongjikhada,正直、誠實,"honesty,uprightness"
4374,조정하다,jojeonghada,調節、協調、調整,"To regulate,adjust,coordinate"
4375,주름,jureum,皺紋、褶皺,Wrinkles
4376,중요,jungyo,重要、重要性,"importance,consequence"
4377,챔피언,chaempieon,冠軍、優勝者,Champion
4378,최신,choesin,最新,"Newest, the latest"
4379,축하,chukha,祝賀、慶祝,"Congratulation, celebration"
4380,취소,chwiso,取消、作廢,"Cancellation, anulment"
4381,캐릭터,kaerikteo,角色、人物形象,Character
4382,커튼,keoteun,窗簾,Curtain
4383,팬,paen,粉絲、歌迷,"A fan, an enthusiast"
4384,해롭다,haeropda,有害、不利,"To be harmful, injurious"
4385,현관문,hyeongwanmun,玄關門、大門,The front door
4386,활발해지다,hwalbalhaejida,變得活潑、活躍,To become lively
4387,회복되다,hoebokdoeda,恢復、痊癒（被動）,To be recovered
4388,희생하다,huisaenghada,犧牲,To sacrifice
4389,가능해지다,ganeunghaejida,變為可能,To become possible
4390,겨울철,gyeoulcheol,冬季、冬令時節,The winter season
4391,고추장,gochujang,辣椒醬、苦椒醬,Red pepper paste
4392,골프장,golpeujang,高爾夫球場,Golf course
4393,공연히,gongyeonhi,白白地、徒然、平白無故,Futile or vain or useless
4394,과정,gwajeong,課程、過程,A course or curriculum
4395,국수,guksu,麵條、麵食,Noodles
4396,국제적,gukjejeok,國際性的,International
4397,그루,geuru,棵、株（樹木量詞）,1) a root 2) stubble
4398,그전,geujeon,之前、從前,Former days or the past
4399,금고,geumgo,保險箱、金庫,A safe or strongbox
4400,꾸중,kkujung,斥責、訓斥,"Scolding, a rebuke"
4401,끌어당기다,kkeureodanggida,拉近、拽過來,To draw near
4402,끼,kki,一餐、一頓飯,A meal or a repast
4403,능동적,neungdongjeok,主動的、積極的,"Activity ; voluntary, of its own nature (opp. 수동적)"
4404,달빛,dalbit,月光,Moonlight
4405,당분간,dangbungan,暫時、短時間內,For the present
4406,도움말,doummal,幫助指南、提示語,Helping words
4407,뒷산,dwitsan,後山,The back side of a mountain
4408,만족하다,manjokhada,滿意、滿足,To be content
4409,맵다,maepda,辛辣、辣,Spicy
4410,메다,meda,扛、背、擔在肩上,Put on one’s shoulder
4411,몰려오다,molryeooda,蜂擁而來、湧來,Come in crowds
4412,물질적,muljiljeok,物質上的、物質性的,Material
4413,미인,miin,美人、美女,A beautiful girl
4414,믿어지다,mideojida,令人難以置信、變得可信（被動）,Become believable
4415,반죽,banjuk,麵團、揉麵,Kneading; dough
4416,반지,banji,戒指,Ring
4417,밤,bam,栗子,Chestnut
4418,배치,baechi,配置、安排、佈局,Arrangement
4419,백인,baegin,白人、白種人,Caucasian
4420,본,bon,榜樣、範例、典範,An example
4421,본사,bonsa,總公司、總部,Main office
4422,부르다,bureuda,吃飽、飽,To be full
4423,불평등하다,bulpyeongdeunghada,不平等,Inequality
4424,비타민,bitamin,維他命、維生素,Vitamin
4425,빌딩,bilding,大廈、大樓,Building
4426,빠뜨리다,ppatteurida,陷入、掉入、遺漏,"Throw into (a river); entice, entrap"
4427,산속,sansok,山中、深山裡,The heart of a mountain
4428,새로이,saeroi,重新、嶄新地,"newly,afresh"
4429,서양인,seoyangin,西方人、歐美人,A Westerner
4430,소지품,sojipum,隨身物品、攜帶物,one’s things
4431,송이,songi,朵、串（花/葡萄量詞）,"A bunch,cluster"
4432,쇠,soe,鐵、金屬,Iron
4433,수컷,sukeot,雄性、公的,A male of the species
4434,승리하다,seungrihada,獲勝、勝利,To win
4435,식초,sikcho,食醋、醋,Vinegar
4436,심부름,simbureum,跑腿、差事,Errand
4437,씨앗,ssiat,種子、種籽,Seeds
4438,야외,yaoe,野外、戶外,"The fields, the outskirts"
4439,얻어먹다,eodeomeokda,討飯、受人請客,Go about begging
4440,엄숙하다,eomsukhada,莊嚴、肅穆,"Seriousness, solemnity ; being grave, serious"
4441,여가,yeoga,閒暇、休閒時光,"leisure,spare time"
4442,여동생,yeodongsaeng,妹妹,Younger sister
4443,연상하다,yeonsanghada,聯想,Association of ideas
4444,옆집,yeopjip,隔壁、鄰居家,The house next door
4445,오래간만,oraeganman,好久、隔了好久,After a long time
4446,오래도록,oraedorok,久久、長久地,"For long, a long while"
4447,올려다보다,olryeodaboda,抬頭看、仰視,Look up
4448,외다,oeda,背誦、覆誦,To repeat back (an order)
4449,외침,oechim,呼喊、吶喊,"A shout, a cry"
4450,이빨,ippal,牙齒（多指動物或俗語）,A tooth
4451,이해,ihae,利害、利益與損害,"interests,gains"
4452,일손,ilson,人手、勞動力,Work in hand
4453,잠바,jamba,夾克、外套,Jumper
4454,잠수함,jamsuham,潛水艇,Submarine
4455,장수,jangsu,商人、小販,"A tradesman,merchant"
4456,장학금,janghakgeum,獎學金,Scholarship
4457,재다,jaeda,量、測量 / 炫耀,"measure,guage"
4458,쟤,jyae,那個孩子、那傢伙,That kid
4459,점심시간,jeomsimsigan,午餐時間,Lunchtime
4460,지도하다,jidohada,指導、引導,"To lead, instruct"
4461,지적,jijeok,知識分子的、智力的,"Intellectual, brainy"
4462,진로,jinro,進路、出路、前途,"A course,direction,path"
4463,진행자,jinhaengja,主持人,Leader of the performance
4464,쪽,jjok,方面、方向,"A side, direction"
4465,찾아다니다,chajadanida,到處尋找、四處奔走拜訪,To go around to meet somebody or see places
4466,책임감,chaegimgam,責任感,Feeling of responsibility
4467,체온,cheon,體溫,Body temperature
4468,초밥,chobap,壽司,Japanese vinegared rice vegetables
4469,출구,chulgu,出口,An exit
4470,출입문,churimmun,出入門、通道門,Door for exiting and entering
4471,통과,tonggwa,通過,Passage
4472,포장마차,pojangmacha,布帳馬車、街頭小吃攤,A wheeled snack bar on the street
4473,푸다,puda,舀出、撈出,"Dip out, bail out"
4474,풀,pul,漿糊、膠水,Glue (spread the ~)
4475,피망,pimang,青椒、甜椒,A pimento
4476,필름,pilreum,底片、膠捲,Film
